"Id","OfficePropertyId","PropertyType","Bedrooms","Bathrooms","PublicRooms","CategorisationDescription","Price","PriceType","RentalPricePeriod","UnderOffer","FormattedClosingDate","AddressLine1","LineOneLocation","LineTwoLocation","OrganisationName","Locality","City","County","Country","Postcode","CoordinateSystemId","WellKnownText","ClosingDateVisible","ClosedDateVisible","ClosedMessage","FormattedClosedDate","HideOpenActionsDisplay","ClosingDate","ClosedDate","IsOpen","FloorArea","ResidentialType","HouseFormat","PropertyIconKey","SolicitorAccount_Id","SolicitorAccount_Name","SolicitorAccount_WebsiteAddress","FormattedPrice","ViewingArrangements","ViewingTiming","BookingUrl","IsSellerManaged","DateAdded","has_garden","council_tax_band","epc_band","num_floors","parking_type","HouseType","Latitude","Longitude","UTM_Easting","UTM_Northing","AddressLineDash","property_url"
428465,374444,1,6,4,3,"6 Bdrm Detached Dwellhouse. Ground flr: V/bule. Hall. Lounge. Dining kitch. Sun lounge. Conservatory. Office/Bdrm. 1st flr: 5 Bdrms. 2 with ensuite. Bathrm. (CT Band - E) . Garden. Garage. Parking. Price over £445,000 Entry by arr. Viewing contact solicitors. (EPC band - C).",445000,1,NA,FALSE,"","Penview","Penview","Cove Bay, Aberdeen, AB12 3LA","","Cove Bay","Aberdeen","","","AB12 3LA",4326,"POINT (-2.0767731 57.0992004)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,272,1,1,"HOUSE_DETACHED",1470,"James & George Collie","http://www.jgcollie.co.uk",NA,NA,0,NA,FALSE,2024-09-27,"Yes","E","C",2,"Garage","Detached",57.0992004,-2.0767731,555933.771390875,6328806.91025494,"Penview","https://www.aspc.co.uk/search/property/428465/Penview/Aberdeen/"
428464,374610,1,4,2,4,"4 Bdrm Detached Bankhead Farm House: Dwellhouse. Ground flr: V/bule. Dining kitch. Dining rm. Hall. Utility rm. Bathrm. Bdrm. Study/Hall. Lounge. Sun lounge. 1st flr: 3 Bdrms. Cloakrm with wc (CT band - B). Bankhead Farm Cottage: V/bule. Dining kitch. Ground flr: V/bule. Hall. Dining kitch. Bathrm. Lounge. 2 Bdrms 1 with ensuite (CT band - E). Garden. Double Garage. Parking. Price over £545,000 Entry by arr. Viewing contact solicitors. (EPC band - E).",545000,1,NA,FALSE,"","Bankhead Farm","Bankhead Farm","Boyndie, Banff, AB45 2LQ","","Boyndie","Banff","","","AB45 2LQ",4326,"POINT (-2.6605456 57.6426657)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,0,1,1,"HOUSE_DETACHED",2770,"Walter Gerrard & Co","http://www.waltergerrard.co.uk",NA,NA,0,NA,FALSE,2024-09-27,"Yes","B","E",2,"Double Garage","Detached",57.6426657,-2.6605456,520264.318157836,6388978.86001731,"Bankhead-Farm","https://www.aspc.co.uk/search/property/428464/Bankhead-Farm/Banff/"
428463,374828,1,3,1,1,"3 Bdrm Semi-detached Dwellhouse. Ground flr: V/bule. Living rm. Kitch/Dining area. Utility rm. Cloakrm with wc. 1st flr: 3 Bdrms. Bathrm. (CT Band - TBC). Garden. Parking. Price over £262,990 Entry by arr. Viewing go along to site.",262990,1,NA,FALSE,"","35 Gadieburn Drive","35 Gadieburn Drive","Inverurie, AB51 6BR","","","Inverurie","","","AB51 6BR",4326,"POINT (-2.37658848968812 57.2978404986349)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,91,1,2,"HOUSE_SEMI_DETACHED",70,"Aberdein Considine","http://www.ACandCo.com",NA,NA,0,NA,FALSE,2024-09-27,"Yes",NA,NA,2,"Parking","Semi-Detached",57.2978404986349,-2.37658848968812,537567.561053035,6350712.91277593,"35-Gadieburn-Drive","https://www.aspc.co.uk/search/property/428463/35-Gadieburn-Drive/Inverurie/"
428462,374829,1,3,1,1,"3 Bdrm Semi-detached Dwellhouse. Ground flr: Hall. Lounge. Dining kitch. 1st flr: 3 Bdrms. Shower rm (CT band - E). Parking. Price over £199,500 Entry by arr. Viewing contact solicitors. (EPC band - C).",199500,1,NA,FALSE,"","79 Braehead Crescent","79 Braehead Crescent","Stonehaven, AB39 2PP","","","Stonehaven","","","AB39 2PP",4326,"POINT (-2.2157707 56.9582664)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,75,1,2,"HOUSE_SEMI_DETACHED",70,"Aberdein Considine","http://www.ACandCo.com",NA,NA,0,NA,FALSE,2024-09-27,"No","E","C",2,"Parking","Semi-Detached",56.9582664,-2.2157707,547692.976586347,6313013.96279178,"79-Braehead-Crescent","https://www.aspc.co.uk/search/property/428462/79-Braehead-Crescent/Stonehaven/"
428461,374826,1,2,1,2,"2 Bdrm Semi-detached Dwellhouse. Ground flr: Hall. Lounge/Dining rm on open plan. Kitch. V/bule. Bathrm. 1st flr: 2 Bdrms (CT band - E). Garden. Garage. Parking. Price over £200,000 Entry by arr. Viewing contact solicitors. (EPC band - D).",2e+05,1,NA,FALSE,"","13 Glenhome Gardens","13 Glenhome Gardens","Dyce, Aberdeen, AB21 7FG","","Dyce","Aberdeen","","","AB21 7FG",4326,"POINT (-2.1821535 57.2028227)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,96,1,2,"HOUSE_SEMI_DETACHED",70,"Aberdein Considine","http://www.ACandCo.com",NA,NA,0,NA,FALSE,2024-09-27,"Yes","E","D",2,"Garage","Semi-Detached",57.2028227,-2.1821535,549411.152307142,6340260.00810892,"13-Glenhome-Gardens","https://www.aspc.co.uk/search/property/428461/13-Glenhome-Gardens/Aberdeen/"
428460,374386,1,4,1,2,"4 Bdrm Semi-detached Dwellhouse. Ground flr: V/bule. Hall. Lounge. Kitch. Dining rm. Bdrm. Bathrm. 1st flr: 3 Bdrms (CT band - F) . Garden. Parking. Price over £220,000 Entry by arr. Viewing contact solicitors. (EPC band - C).",220000,1,NA,FALSE,"","14 Morningside Terrace","14 Morningside Terrace","Aberdeen, AB10 7NZ","","","Aberdeen","","","AB10 7NZ",4326,"POINT (-2.1371381 57.1266488)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,104,1,2,"HOUSE_SEMI_DETACHED",5770,"Raeburn Christie Clark & Wallace","http://www.raeburns.co.uk",NA,NA,0,NA,FALSE,2024-09-27,"Yes","F","C",2,"Parking","Semi-Detached",57.1266488,-2.1371381,552238.028660387,6331814.38829755,"14-Morningside-Terrace","https://www.aspc.co.uk/search/property/428460/14-Morningside-Terrace/Aberdeen/"
428459,374823,1,3,2,2,"3 Bdrm Semi-detached Dwellhouse. Ground flr: Hall. Living rm. Dining rm. Kitch. Cloakrm with wc. 1st flr: 3 Bdrms 1 with ensuite. Bathrm (CT band - TBC). Garden. Parking. Price over £272,990 Entry by arr. Viewing go along to site.",272990,1,NA,FALSE,"","21 Gadieburn Drive","21 Gadieburn Drive","Inverurie, AB51 6BR","","","Inverurie","","","AB51 6BR",4326,"POINT (-2.37735933837586 57.2978266334977)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,95,1,2,"HOUSE_SEMI_DETACHED",70,"Aberdein Considine","http://www.ACandCo.com",NA,NA,0,NA,FALSE,2024-09-27,"Yes",NA,NA,2,"Parking","Semi-Detached",57.2978266334977,-2.37735933837586,537521.123617612,6350710.9442778,"21-Gadieburn-Drive","https://www.aspc.co.uk/search/property/428459/21-Gadieburn-Drive/Inverurie/"
428457,374821,1,2,1,1,"2 Bdrm Terraced Dwellhouse. Ground flr: V/bule. Hall. Lounge. Kitch. 1st flr: 2 Bdrms. Bathrm. (CT Band - B). Garden. Parking. Price over £142,500 Immed entry. Viewing 07516 722379. (EPC band - C).",142500,1,NA,FALSE,"","18 Windford Square","18 Windford Square","Aberdeen, AB16 6NR","","","Aberdeen","","","AB16 6NR",4326,"POINT (-2.1711182 57.152142)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,66,1,3,"HOUSE_TERRACED",6276,"Solicitors Direct",NA,NA,NA,0,NA,FALSE,2024-09-27,"Yes","B","C",2,"Parking","Terraced",57.152142,-2.1711182,550146.432660109,6334626.60546038,"18-Windford-Square","https://www.aspc.co.uk/search/property/428457/18-Windford-Square/Aberdeen/"
428456,373773,1,3,1,1,"3 Bdrm Semi-detached Villa. Ground flr: Hall. Lounge. Dining kitch. Cloakrm with wc. 1st flr: 3 Bdrms. Bathrm (CT band - B). Garden. Parking. Price over £185,000 Entry by arr. Viewing contact solicitors. (EPC band - C).",185000,1,NA,FALSE,"","33 Bacchante Way","33 Bacchante Way","Newmachar, Aberdeen, AB21 0AX","","Newmachar","Aberdeen","","","AB21 0AX",4326,"POINT (-2.1598301 57.2596142)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,78,1,2,"HOUSE_SEMI_DETACHED",171,"Andersonbain LLP","http://www.andersonbain.co.uk",NA,NA,0,NA,FALSE,2024-09-27,"Yes","B","C",2,"Parking","Semi-Detached",57.2596142,-2.1598301,550681.853802369,6346598.13050421,"33-Bacchante-Way","https://www.aspc.co.uk/search/property/428456/33-Bacchante-Way/Aberdeen/"
428455,374332,1,2,1,2,"2 Bdrm Semi-detached Dwellhouse. Ground flr: V/bule. Lounge. Kitch. Conservatory. 1st flr: 2 Bdrms. Shower rm (CT band - D). Garden. Parking. Price over £170,000 Entry by arr. Viewing contact solicitors. (EPC band - C).",170000,1,NA,FALSE,"","4 Crombie Wynd","4 Crombie Wynd","Westhill, AB32 6NE","","","Westhill","","","AB32 6NE",4326,"POINT (-2.2994181 57.1547294)",FALSE,FALSE,"Sold date","",FALSE,NA,NA,TRUE,54,1,2,"HOUSE_SEMI_DETACHED",6470,"Storie, Cruden & Simpson","http://www.storiecs.co.uk",NA,NA,0,NA,FALSE,2024-09-27,"Yes","D","C",2,"Parking","Semi-Detached",57.1547294,-2.2994181,542381.645283798,6334827.5818427,"4-Crombie-Wynd","https://www.aspc.co.uk/search/property/428455/4-Crombie-Wynd/Westhill/"
